Date --> 2024-05-06 03:07:12 , ProcessId --> 19100 , Message --> DataProcessing Initiate
Date --> 2024-05-06 03:07:12 , ProcessId --> 19100 , Message --> textDataToCsvConvertion method Invoked
Date --> 2024-05-06 03:07:12 , ProcessId --> 19100 , Message --> ProcessedTrainDataset directory created
Date --> 2024-05-06 03:07:13 , ProcessId --> 19100 , Message --> Text files converted to CSV
Date --> 2024-05-06 03:23:30 , ProcessId --> 6224 , Message --> DataProcessing Initiate
Date --> 2024-05-06 03:24:22 , ProcessId --> 19264 , Message --> DataProcessing Initiate
Date --> 2024-05-06 03:37:15 , ProcessId --> 23688 , Message --> DataProcessing Initiate
Date --> 2024-05-06 03:37:35 , ProcessId --> 27428 , Message --> DataProcessing Initiate
Date --> 2024-05-06 03:38:02 , ProcessId --> 39200 , Message --> DataProcessing Initiate
Date --> 2024-05-06 03:38:02 , ProcessId --> 39200 , Message --> textDataToCsvConvertion method Invoked
Date --> 2024-05-06 03:38:02 , ProcessId --> 39200 , Message --> ProcessedTrainDataset directory created
Date --> 2024-05-06 03:38:02 , ProcessId --> 39200 , Message --> DataProcessing got an Exception saying can only join an iterable
Date --> 2024-05-06 11:04:19 , ProcessId --> 9736 , Message --> DataProcessing Initiate
Date --> 2024-05-06 11:04:19 , ProcessId --> 9736 , Message --> textDataToCsvConvertion method Invoked
Date --> 2024-05-06 11:04:19 , ProcessId --> 9736 , Message --> ProcessedTrainDataset directory created
Date --> 2024-05-06 11:04:20 , ProcessId --> 9736 , Message --> Text files converted to CSV
Date --> 2024-05-06 11:05:52 , ProcessId --> 23952 , Message --> DataProcessing Initiate
Date --> 2024-05-06 11:08:15 , ProcessId --> 38120 , Message --> DataProcessing Initiate
Date --> 2024-05-06 11:09:53 , ProcessId --> 2276 , Message --> DataProcessing Initiate
Date --> 2024-05-06 11:10:45 , ProcessId --> 32888 , Message --> DataProcessing Initiate
Date --> 2024-05-06 11:16:28 , ProcessId --> 21728 , Message --> DataProcessing Initiate
Date --> 2024-05-06 11:17:03 , ProcessId --> 37072 , Message --> DataProcessing Initiate
